               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.036939,            0.021262,                   0,              0.8725,             0.68964,             0.76913,             0.45756,            0.038216,            0.022043,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.032841,            0.017048,                   0,             0.87666,             0.72093,             0.82257,             0.46606,            0.035502,            0.020662,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.038426,            0.018219,                   0,               0.836,             0.71318,             0.80896,             0.44169,            0.038633,            0.021408,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.040806,            0.017861,                   0,             0.83805,             0.65116,             0.75621,             0.44325,            0.036113,            0.022711,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.041328,            0.018643,                   0,             0.78614,             0.62791,             0.69611,             0.40151,            0.041851,            0.024815,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.039548,            0.016322,                   0,             0.67991,             0.65865,              0.6493,             0.35384,            0.041079,            0.026497,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.039238,             0.01678,                   0,             0.68251,             0.63326,             0.59275,             0.28818,            0.046424,            0.028827,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.039922,            0.019231,                   0,              0.7972,              0.6124,             0.65063,             0.39286,            0.039346,            0.027096,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.032692,            0.018516,                   0,             0.78431,             0.70543,              0.7374,             0.45394,              0.0362,            0.023345,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.030284,            0.015677,                   0,             0.73017,             0.79845,             0.78198,             0.50556,            0.033019,            0.021496,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.036207,            0.019046,                   0,             0.80324,             0.75949,             0.76381,             0.43616,            0.036392,            0.021377,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.034478,            0.017291,                   0,             0.79807,             0.73643,              0.7513,             0.49685,            0.031249,            0.021254,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.031774,            0.016081,                   0,             0.74799,             0.75927,             0.77617,             0.49964,            0.033539,            0.021175,                   0,            0.005149,            0.005149,            0.005149
